Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.925935589,7.908347303,0.00E+00,7.450669539,0.00E+00,0.205141406,0.205141406,0.205141406,0.161612925,3.52E-02,9.29E-02,0.413914906,0.429168251
 01/01  02:00:00,0.798768278,7.974583972,0.00E+00,7.610774776,0.00E+00,0.209549629,0.209549629,0.209549629,9.43E-02,2.05E-02,7.62E-02,0.381106598,0.337559445
 01/01  03:00:00,0.753579623,8.162630401,0.00E+00,7.824819235,0.00E+00,0.215442976,0.215442976,0.215442976,6.73E-02,1.47E-02,6.23E-02,0.376687971,0.31186576
 01/01  04:00:00,0.739893006,8.168060062,0.00E+00,7.823577291,0.00E+00,0.215408782,0.215408782,0.215408782,6.73E-02,1.47E-02,5.40E-02,0.371385619,0.318902578
 01/01  05:00:00,0.738655374,8.275430317,0.00E+00,7.85790179,0.00E+00,0.216353848,0.216353848,0.216353848,6.73E-02,1.47E-02,6.58E-02,0.357356477,0.392914629
 01/01  06:00:00,0.790782888,8.467173844,0.00E+00,7.72887819,0.00E+00,0.212801404,0.212801404,0.212801404,6.73E-02,1.47E-02,8.01E-02,0.398781107,0.710828523
 01/01  07:00:00,1.012545374,8.809684532,0.00E+00,7.470014708,0.00E+00,0.205674042,0.205674042,0.205674042,0.154879099,3.37E-02,0.140383655,0.460752354,1.307934256
 01/01  08:00:00,1.352248653,9.37905624,0.00E+00,7.864578666,0.00E+00,0.216537684,0.216537684,0.216537684,0.316492024,6.90E-02,0.228567474,0.489583897,1.480756154
 01/01  09:00:00,1.306642525,8.938710204,0.00E+00,7.461581769,0.00E+00,0.205441856,0.205441856,0.205441856,0.303024287,6.60E-02,0.301128191,0.413914906,1.448618923
 01/01  10:00:00,1.136442063,8.731460452,0.00E+00,7.386217542,0.00E+00,0.203366831,0.203366831,0.203366831,0.154879099,3.37E-02,0.375064854,0.352275056,1.32097901
 01/01  11:00:00,1.163669795,9.701868158,0.00E+00,8.512803901,0.00E+00,0.234385454,0.234385454,0.234385454,0.127943542,2.79E-02,0.395793166,0.360559982,1.164229709
 01/01  12:00:00,1.150986891,8.445991136,0.00E+00,7.40109419,0.00E+00,0.203776434,0.203776434,0.203776434,0.127943542,2.79E-02,0.413608816,0.360670447,1.02005479
 01/01  13:00:00,1.119698975,7.927642625,0.00E+00,6.9921242,0.00E+00,0.192516147,0.192516147,0.192516147,0.127943542,2.79E-02,0.3996568,0.354594835,0.911094744
 01/01  14:00:00,1.087282693,7.625900387,0.00E+00,6.757597979,0.00E+00,0.18605887,0.18605887,0.18605887,0.127943542,2.79E-02,0.361436105,0.366856526,0.843034169
 01/01  15:00:00,1.082882305,7.432569256,0.00E+00,6.627194656,0.00E+00,0.182468438,0.182468438,0.182468438,0.134677452,2.93E-02,0.331768009,0.387513608,0.778683548
 01/01  16:00:00,1.152213391,7.391342262,0.00E+00,6.577449092,0.00E+00,0.181098779,0.181098779,0.181098779,0.168346836,3.67E-02,0.339922861,0.409054416,0.785718436
 01/01  17:00:00,1.412985952,7.36453777,0.00E+00,6.463187943,0.00E+00,0.177952794,0.177952794,0.177952794,0.28282264,6.16E-02,0.389638974,0.483839681,0.868024056
 01/01  18:00:00,1.931563535,8.573609579,0.00E+00,7.502281306,0.00E+00,0.206562448,0.206562448,0.206562448,0.52524207,0.114436865,0.480422252,0.587787887,1.030842787
 01/01  19:00:00,2.244750811,7.610212708,0.00E+00,6.376528465,0.00E+00,0.175566774,0.175566774,0.175566774,0.781129237,0.170188159,0.432594366,0.638160237,1.189729225
 01/01  20:00:00,2.203192779,7.408929236,0.00E+00,6.140149565,0.00E+00,0.169058487,0.169058487,0.169058487,0.828266358,0.180458136,0.34959093,0.658706854,1.223409448
 01/01  21:00:00,2.050695615,7.438125657,0.00E+00,6.254009546,0.00E+00,0.172193426,0.172193426,0.172193426,0.713790553,0.155516757,0.310730547,0.681352319,1.137186121
 01/01  22:00:00,1.884483149,7.534956955,0.00E+00,6.468041887,0.00E+00,0.178086439,0.178086439,0.178086439,0.599314665,0.130575396,0.293949376,0.665445261,1.02108072
 01/01  23:00:00,1.563636853,7.673420145,0.00E+00,6.792694075,0.00E+00,0.18702518,0.18702518,0.18702518,0.451169476,9.83E-02,0.234174255,0.575857593,0.841062316
 01/01  24:00:00,1.24501619,7.894922078,0.00E+00,7.220074963,0.00E+00,0.19879238,0.19879238,0.19879238,0.309758114,6.75E-02,0.151455748,0.500409534,0.64038005
 01/02  01:00:00,0.923887141,8.056635463,0.00E+00,7.615024815,0.00E+00,0.209666647,0.209666647,0.209666647,0.161612925,3.52E-02,8.64E-02,0.413914906,0.413101135
 01/02  02:00:00,0.801508366,8.209078775,0.00E+00,7.853648623,0.00E+00,0.216236744,0.216236744,0.216236744,9.43E-02,2.05E-02,7.22E-02,0.381106598,0.329180401
 01/02  03:00:00,0.760560751,8.504842096,0.00E+00,8.173210949,0.00E+00,0.225035345,0.225035345,0.225035345,6.73E-02,1.47E-02,5.97E-02,0.376687971,0.305685741
 01/02  04:00:00,0.746194845,8.439699614,0.00E+00,8.102049115,0.00E+00,0.223076026,0.223076026,0.223076026,6.73E-02,1.47E-02,5.26E-02,0.371385619,0.312070307
 01/02  05:00:00,0.741338612,8.455914139,0.00E+00,8.052371724,0.00E+00,0.221708244,0.221708244,0.221708244,6.73E-02,1.47E-02,6.32E-02,0.357356477,0.378928518
 01/02  06:00:00,0.794361481,8.70659462,0.00E+00,8.007642186,0.00E+00,0.220476693,0.220476693,0.220476693,6.73E-02,1.47E-02,7.60E-02,0.398781107,0.671485303
 01/02  07:00:00,1.009996873,9.013559385,0.00E+00,7.763369457,0.00E+00,0.213751062,0.213751062,0.213751062,0.154879099,3.37E-02,0.129758135,0.460752354,1.21845436
 01/02  08:00:00,1.338950455,9.5551982,0.00E+00,8.150166869,0.00E+00,0.224400865,0.224400865,0.224400865,0.316492024,6.90E-02,0.207406095,0.489583897,1.371309911
 01/02  09:00:00,1.279819264,9.027541403,0.00E+00,7.665482836,0.00E+00,0.211055922,0.211055922,0.211055922,0.303024287,6.60E-02,0.268690864,0.413914906,1.333549055
 01/02  10:00:00,1.096705895,8.817149265,0.00E+00,7.57852756,0.00E+00,0.208661758,0.208661758,0.208661758,0.154879099,3.37E-02,0.33003376,0.352275056,1.214357804
 01/02  11:00:00,1.118899959,9.833342138,0.00E+00,8.736040408,0.00E+00,0.240531888,0.240531888,0.240531888,0.127943542,2.79E-02,0.344876896,0.360559982,1.072467183
 01/02  12:00:00,1.099635289,8.411202534,0.00E+00,7.442396894,0.00E+00,0.204913633,0.204913633,0.204913633,0.127943542,2.79E-02,0.361120015,0.360670447,0.943963484
 01/02  13:00:00,1.074871656,7.969793711,0.00E+00,7.100473973,0.00E+00,0.195499372,0.195499372,0.195499372,0.127943542,2.79E-02,0.351846255,0.354594835,0.844896057
 01/02  14:00:00,1.049433143,7.776599163,0.00E+00,6.966019088,0.00E+00,0.191797387,0.191797387,0.191797387,0.127943542,2.79E-02,0.317848037,0.366856526,0.785311836
 01/02  15:00:00,1.05126639,7.653411623,0.00E+00,6.899944107,0.00E+00,0.189978126,0.189978126,0.189978126,0.134677452,2.93E-02,0.292642405,0.387513608,0.726776464
 01/02  16:00:00,1.122402574,7.602859593,0.00E+00,6.840700844,0.00E+00,0.188346964,0.188346964,0.188346964,0.168346836,3.67E-02,0.302863858,0.409054416,0.733984016
 01/02  17:00:00,1.384828268,7.58320015,0.00E+00,6.745038257,0.00E+00,0.185713059,0.185713059,0.185713059,0.28282264,6.16E-02,0.353721026,0.483839681,0.804836122
 01/02  18:00:00,1.905017535,8.817824747,0.00E+00,7.822110844,0.00E+00,0.215368405,0.215368405,0.215368405,0.52524207,0.114436865,0.445070293,0.587787887,0.955228417
 01/02  19:00:00,2.213373666,7.619379957,0.00E+00,6.483061278,0.00E+00,0.178499972,0.178499972,0.178499972,0.781129237,0.170188159,0.398284023,0.638160237,1.092363662
 01/02  20:00:00,2.174686115,7.508428645,0.00E+00,6.348556165,0.00E+00,0.174796605,0.174796605,0.174796605,0.828266358,0.180458136,0.315346149,0.658706854,1.114502259
 01/02  21:00:00,2.021852858,7.552940948,0.00E+00,6.472386753,0.00E+00,0.178206068,0.178206068,0.178206068,0.713790553,0.155516757,0.275875149,0.681352319,1.033624205
 01/02  22:00:00,1.855952001,7.704498334,0.00E+00,6.725030387,0.00E+00,0.185162177,0.185162177,0.185162177,0.599314665,0.130575396,0.25834249,0.665445261,0.933633599
 01/02  23:00:00,1.543536936,7.902097619,0.00E+00,7.090272716,0.00E+00,0.195218498,0.195218498,0.195218498,0.451169476,9.83E-02,0.205881021,0.575857593,0.772161148
 01/02  24:00:00,1.2358709,8.084168145,0.00E+00,7.452141964,0.00E+00,0.205181947,0.205181947,0.205181947,0.309758114,6.75E-02,0.13592089,0.500409534,0.597559117
 01/03  01:00:00,0.935141259,8.465495944,0.00E+00,8.023770725,0.00E+00,0.220920764,0.220920764,0.220920764,0.161612925,3.52E-02,8.64E-02,0.413914906,0.413215706
 01/03  02:00:00,0.810419969,8.532370907,0.00E+00,8.177315158,0.00E+00,0.225148347,0.225148347,0.225148347,9.43E-02,2.05E-02,7.22E-02,0.381106598,0.328805998
 01/03  03:00:00,0.766557892,8.722376494,0.00E+00,8.391025168,0.00E+00,0.231032486,0.231032486,0.231032486,6.73E-02,1.47E-02,5.97E-02,0.376687971,0.30540592
 01/03  04:00:00,0.758314295,8.879911877,0.00E+00,8.542223629,0.00E+00,0.235195476,0.235195476,0.235195476,6.73E-02,1.47E-02,5.26E-02,0.371385619,0.312108056
 01/03  05:00:00,0.76204098,9.208161328,0.00E+00,8.804275007,0.00E+00,0.242410611,0.242410611,0.242410611,6.73E-02,1.47E-02,6.32E-02,0.357356477,0.379272424
 01/03  06:00:00,0.819615573,9.624643462,0.00E+00,8.924862642,0.00E+00,0.245730785,0.245730785,0.245730785,6.73E-02,1.47E-02,7.60E-02,0.398781107,0.672313688
 01/03  07:00:00,1.037587617,10.01725966,0.00E+00,8.765456376,0.00E+00,0.241341807,0.241341807,0.241341807,0.154879099,3.37E-02,0.129758135,0.460752354,1.22006772
 01/03  08:00:00,1.370431403,10.70036318,0.00E+00,9.293544687,0.00E+00,0.255881812,0.255881812,0.255881812,0.316492024,6.90E-02,0.207406095,0.489583897,1.373097069
 01/03  09:00:00,1.312224228,10.20612233,0.00E+00,8.842420635,0.00E+00,0.243460885,0.243460885,0.243460885,0.303024287,6.60E-02,0.268690864,0.413914906,1.335192186
 01/03  10:00:00,1.133459439,10.15330056,0.00E+00,8.913404405,0.00E+00,0.245415302,0.245415302,0.245415302,0.154879099,3.37E-02,0.33003376,0.352275056,1.215632256
 01/03  11:00:00,1.16441804,11.4876059,0.00E+00,10.3892424,0.00E+00,0.28604997,0.28604997,0.28604997,0.127943542,2.79E-02,0.344876896,0.360559982,1.073528957
 01/03  12:00:00,1.144819801,10.05307423,0.00E+00,9.083483775,0.00E+00,0.250098146,0.250098146,0.250098146,0.127943542,2.79E-02,0.361120015,0.360670447,0.944748299
 01/03  13:00:00,1.121561094,9.665794083,0.00E+00,8.796219268,0.00E+00,0.24218881,0.24218881,0.24218881,0.127943542,2.79E-02,0.351846255,0.354594835,0.845151133
 01/03  14:00:00,1.099042073,9.578988604,0.00E+00,8.767799363,0.00E+00,0.241406317,0.241406317,0.241406317,0.127943542,2.79E-02,0.317848037,0.366856526,0.785921002
 01/03  15:00:00,1.100666831,9.447717773,0.00E+00,8.69415216,0.00E+00,0.239378567,0.239378567,0.239378567,0.134677452,2.93E-02,0.292642405,0.387513608,0.726874562
 01/03  16:00:00,1.175553397,9.533356548,0.00E+00,8.771121562,0.00E+00,0.241497788,0.241497788,0.241497788,0.168346836,3.67E-02,0.302863858,0.409054416,0.734060253
 01/03  17:00:00,1.443023509,9.696926508,0.00E+00,8.858670588,0.00E+00,0.2439083,0.2439083,0.2439083,0.28282264,6.16E-02,0.353721026,0.483839681,0.804930148
 01/03  18:00:00,1.97429488,11.33416941,0.00E+00,10.33824161,0.00E+00,0.28464575,0.28464575,0.28464575,0.52524207,0.114436865,0.445070293,0.587787887,0.955442319
 01/03  19:00:00,2.278095547,9.970301719,0.00E+00,8.833739043,0.00E+00,0.243221853,0.243221853,0.243221853,0.781129237,0.170188159,0.398284023,0.638160237,1.092607658
 01/03  20:00:00,2.236535706,9.754993157,0.00E+00,8.594913291,0.00E+00,0.236646195,0.236646195,0.236646195,0.828266358,0.180458136,0.315346149,0.658706854,1.114709644
 01/03  21:00:00,2.083281569,9.783897326,0.00E+00,8.703457645,0.00E+00,0.239634778,0.239634778,0.239634778,0.713790553,0.155516757,0.275875149,0.681352319,1.033509691
 01/03  22:00:00,1.920754893,10.05793606,0.00E+00,9.078650482,0.00E+00,0.249965069,0.249965069,0.249965069,0.599314665,0.130575396,0.25834249,0.665445261,0.933451229
 01/03  23:00:00,1.605327565,10.145928,0.00E+00,9.3344884,0.00E+00,0.257009127,0.257009127,0.257009127,0.451169476,9.83E-02,0.205881021,0.575857593,0.771775841
 01/03  24:00:00,1.297589419,10.32468255,0.00E+00,9.693738634,0.00E+00,0.266900466,0.266900466,0.266900466,0.309758114,6.75E-02,0.13592089,0.500409534,0.596476856
 01/04  01:00:00,0.99193765,10.52712731,0.00E+00,10.08659729,0.00E+00,0.277717156,0.277717156,0.277717156,0.161612925,3.52E-02,8.64E-02,0.413914906,0.412020503
 01/04  02:00:00,0.870434703,10.71115039,0.00E+00,10.35703089,0.00E+00,0.285163081,0.285163081,0.285163081,9.43E-02,2.05E-02,7.22E-02,0.381106598,0.327869751
 01/04  03:00:00,0.831986298,11.09759805,0.00E+00,10.76736372,0.00E+00,0.296460892,0.296460892,0.296460892,6.73E-02,1.47E-02,5.97E-02,0.376687971,0.304288926
 01/04  04:00:00,0.827698139,11.39854096,0.00E+00,11.06222239,0.00E+00,0.304579319,0.304579319,0.304579319,6.73E-02,1.47E-02,5.26E-02,0.371385619,0.310738374
 01/04  05:00:00,0.836648191,11.9166483,0.00E+00,11.5139848,0.00E+00,0.317017823,0.317017823,0.317017823,6.73E-02,1.47E-02,6.32E-02,0.357356477,0.378049594
